Category;Version;Gamified;GEX1;GEX2;GEX3;GEX4;GEX5;ENJ1;ENJ2;ENJ3;USE1;USE2;USE3;USE4;DIF1;DIF2;DIF3;DIF4;SAT1;SAT2;SAT3;SAT4;SAT5;SAT6;ENG1;ENG2_Original;ENG2_Inverse;ENG3;ENG4;ENG5;TotalAverage;ENJ;USE;DIF;SAT;ENG;OPE1;OPE2;OPE3;DEM1;DEM2;DEM3;DEM4;Score;StartDate;KAHOOT_Name;KAHOOT_Score;EndDate;Status;IPAddress;Progress;Duration__in_seconds_;Finished;RecordedDate;ResponseId;LocationLatitude;LocationLongitude
G2;2;1;0;4;3;4;4;2;4;3;2;2;2;2;3;3;3;1;2;2;2;3;3;2;3;3;3;3;4;2;2,54545454545455;3;2;2,5;2,33333333333333;3;an online survey is good;I needed more time to deal with the content;Give some information in advance;1;1;46;4; ;4/29/2020 10:28:56;DJ D;4026;4/29/2020 15:54:35;0;83.135.70.59;63;19538;0;5/6/2020 15:54:38;R_262OqIXGUYiQouv; ; 
G2;2;1;10;4;3;4;1;3;3;4;3;3;3;3;2;4;3;3;3;4;2;4;2;3;4;3;3;2;3;3;3,04545454545455;3,33333333333333;3;3;3;3;format of a quiz;through MS Teams; ; ; ; ; ; ;4/30/2020 13:28:57;jordi;2730;4/30/2020 13:34:44;0;62.45.12.29;54;346;0;5/7/2020 13:35:52;R_12nj0obchVw3IJK; ; 
G2;2;1;2;3;1;3;2;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;2;4;4;4;3;3,90909090909091;4;4;3,75;4;3,8; ; ; ; ; ; ; ; ;4/30/2020 13:29:04;Juliette;11404;4/30/2020 13:36:15;0;86.87.182.131;54;430;0;5/7/2020 13:36:24;R_1NEcon8rfGLEnvB; ; 
G2;2;1;0;4;3;4;3;3;3;2;2;3;3;2;3;4;4;4;4;3;3;2;3;2;4;3;3;3;4;3;3,04545454545455;2,66666666666667;2,5;3,75;2,83333333333333;3,4; ;training info, komt niet direct binnen;Mogelijk in dialoog de vragen behandelen; ; ; ; ; ;4/30/2020 13:31:26;Robbie;8720;4/30/2020 13:38:28;0;159.100.105.38;54;421;0;5/7/2020 13:38:32;R_vf2mvGO7g8K4doJ; ; 
G2;2;1;0;2;2;3;3;4;4;3;4;3;4;4;4;3;4;3;4;4;4;4;4;4;4;2;4;3;3;3;3,68181818181818;3,66666666666667;3,75;3,5;4;3,4;-;-;-; ; ; ; ; ;4/30/2020 13:29:04;KJ;13991;4/30/2020 13:34:32;0;31.201.58.133;54;327;0;5/7/2020 13:40:11;R_25z4pWl794kvOUd; ; 
G2;2;1;0;3;3;4;3;4;4;4;4;4;4;4;4;4;3;4;4;3;3;4;4;4;4;2;4;4;3;3;3,77272727272727;4;4;3,75;3,66666666666667;3,6; ; ; ; ; ; ; ; ;4/30/2020 13:28:49;ATJ;5737;4/30/2020 13:43:01;0;84.207.231.113;54;851;0;5/7/2020 13:43:02;R_2rT8C6ov218P68t; ; 
G2;2;1;0;1;1;3;1;4;4;3;4;4;5;3;4;4;5;4;3;3;4;3;4;4;4;2;4;2;2;2;3,59090909090909;3,66666666666667;4;4,25;3,5;2,8; ; ; ; ; ; ; ; ;4/30/2020 13:29:11;gert;7452;4/30/2020 15:37:10;0;94.213.92.60;54;7679;0;5/7/2020 15:37:35;R_26bVMeIhxoE5qcp; ; 
G2;2;1;1;3;1;5;4;4;4;4;4;4;4;4;3;3;4;5;4;4;4;4;4;4;4;2;4;2;4;3;3,81818181818182;4;4;3,75;4;3,4;Kahoot;De quiz mocht wel gewoon in het Nederlands;De quiz in het Nederlands;2;1;31;3; ;4/30/2020 13:28:49;Sjouke;5131;5/6/2020 4:40:07;0;82.73.15.196;63;486677;0;5/13/2020 4:40:09;R_10T3PBUn1SlTm8K; ; 
NG2;2;0;0;3;1;1;1;4;4;3;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;3,90909090909091;3,66666666666667;4;3,75;4;4; ; ; ;4;1;53;4;11;4/29/2020 13:31:44; ; ;4/29/2020 13:38:23;0;185.151.112.100;100;398;1;4/29/2020 13:38:24;R_1gRZ3NnXv6QTvs4;50.5944976806640625;5.6074066162109375
NG2;2;0;2;3;2;3;2;4;5;3;5;5;5;5;5;4;4;4;4;5;5;5;5;3;2;2;4;2;4;3;4,13636363636364;4;5;4,25;4,5;3;e-learning with teams;nothing;no;4;1;32;4;9;4/29/2020 13:29:10; ; ;4/29/2020 13:42:45;0;185.151.112.100;100;815;1;4/29/2020 13:42:45;R_bpclQR8NVnNVrbP;50.5944976806640625;5.6074066162109375
NG2;2;0;1;2;1;4;2;3;2;2;3;2;2;3;3;4;3;3;3;3;3;3;2;2;3;3;3;3;2;2;2,68181818181818;2,33333333333333;2,5;3,25;2,66666666666667;2,6;Practical issues;Theoretical issues;No;4;2;45;4;12;4/29/2020 13:32:31; ; ;4/29/2020 13:46:48;0;84.196.60.126;100;856;1;4/29/2020 13:46:49;R_6WpgQbWde0mTVg5;51.2487030029296875;4.502197265625
NG2;2;0;1;2;1;3;2;4;4;4;4;4;5;4;4;3;4;3;4;4;4;4;5;3;4;2;4;4;3;3;3,86363636363636;4;4,25;3,5;4;3,6;Specific topic related to my daily job, useful for the future;Need to seen concretely the content of the changes in the CRM; ;4;1;39;4;19;4/29/2020 13:29:21; ; ;4/29/2020 14:05:54;0;185.151.112.100;100;2192;1;4/29/2020 14:05:54;R_3PtrIqaYD8Bc6x6;50.5944976806640625;5.6074066162109375
NG2;2;0;3;4;2;4;3;3;3;3;3;4;3;3;4;4;3;3;4;4;3;4;3;4;3;3;3;3;3;3;3,31818181818182;3;3,25;3,5;3,66666666666667;3; ; ; ;4;1;37;3;14;4/29/2020 13:30:37; ; ;4/30/2020 8:58:29;0;185.151.112.100;100;70071;1;4/30/2020 8:58:46;R_8i9ATzCThy1Cy6l;50.5944976806640625;5.6074066162109375
NG2;2;0;0;1;1;1;1;4;4;3;5;4;5;4;4;4;4;4;4;4;3;4;5;3;4;2;4;3;4;3;3,90909090909091;3,66666666666667;4,5;4;3,83333333333333;3,6; ; ; ;2;1;49;3;10;4/30/2020 9:30:59; ; ;4/30/2020 9:37:38;0;94.213.92.60;100;398;1;4/30/2020 9:37:38;R_b3kNekMtlaANvrP;52.7969970703125;6.89300537109375
NG2;2;0;0;2;2;4;2;3;4;2;3;3;4;3;4;4;4;4;4;4;3;2;4;2;3;3;3;3;3;2;3,22727272727273;3;3,25;4;3,16666666666667;2,8;online volgen van de training, efficiënt;passief betrokken; ;2;1;35;4;11;4/30/2020 9:30:18; ; ;4/30/2020 11:37:11;0;213.127.48.239;100;7612;1;4/30/2020 11:37:11;R_2z8CXt2kI9uJkuO;51.353607177734375;6.1884002685546875
NG2;2;0;0;1;1;4;4;4;4;4;5;4;5;4;4;2;4;4;4;4;4;4;5;5;4;1;5;3;4;1;3,95454545454545;4;4,5;3,5;4,33333333333333;3,4;Prima sheets;Weinig interactie tot nu toe;Wat meer uitleg in het systeem;2;1;56;1;11;4/30/2020 9:30:53; ; ;4/30/2020 12:04:32;0;77.160.14.16;100;9218;1;4/30/2020 12:04:34;R_WjIpMaQid725BDj;51.9178924560546875;4.4900970458984375
NG2;2;0;8;4;3;4;1;3;3;3;4;4;4;3;3;4;4;4;3;4;3;4;5;4;5;2;4;1;4;1;3,5;3;3,75;3,75;3,83333333333333;3;Training moet nog beginnen op dit punt;-;Deze enquete na de training doen...;2;3;35;3;15;4/30/2020 9:30:38; ; ;4/30/2020 12:04:38;0;82.74.91.116;100;9239;1;4/30/2020 12:04:38;R_VQooSAWfUmhrGMN;52.8607025146484375;6.511505126953125
NG2;2;0;5;4;2;4;3;4;4;4;4;4;4;4;2;2;4;4;4;4;4;3;4;4;4;2;4;3;4;3;3,68181818181818;4;4;3;3,83333333333333;3,6;The practical part of the training.;The speed of the connection. The explanation is faster than the presentation.;The level of information for the attendees was not equal. More and better information helps.;2;1;51;3;12;4/30/2020 9:30:20; ; ;5/1/2020 9:40:07;0;86.82.63.24;100;86987;1;5/1/2020 9:40:09;R_rpB7gXSsGxytgiZ;51.7458953857421875;5.2606048583984375
NG2;2;0;0;1;1;3;1;2;2;1;3;2;1;3;2;3;3;3;3;2;2;2;2;2;3;3;3;3;2;1;2,27272727272727;1,66666666666667;2,25;2,75;2,16666666666667;2,4; ; ; ;4;1;50;5;9;4/29/2020 13:29:51; ; ;5/1/2020 14:01:53;0;185.151.112.100;100;174722;1;5/1/2020 14:01:55;R_1Fhwq1O0WlQgy4U;50.5944976806640625;5.6074066162109375
NG2;2;0;0;2;1;3;1;4;3;3;4;4;4;4;4;4;4;4;3;4;4;3;3;3;3;2;4;3;3;2;3,5;3,33333333333333;4;4;3,33333333333333;3; ; ; ;4;1;42;6;15;4/29/2020 13:30:49; ; ;5/3/2020 21:00:14;0;84.196.184.104;100;372564;1;5/3/2020 21:00:14;R_3pa1P6tTeHmIkDf;51.0240020751953125;4.4833984375
NG2;2;0;0;3;1;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;4;2;4;3;3;4;3,18181818181818;3;3;3;3,16666666666667;3,6; ; ; ;4;2;49;4;9;4/29/2020 13:29:36; ; ;5/4/2020 9:23:40;0;185.151.112.100;100;417244;1;5/4/2020 9:23:42;R_3k50g8coV64bI1a;50.5944976806640625;5.6074066162109375
NG2;2;0;2;3;1;4;1;4;3;3;4;4;4;4;4;4;4;4;4;4;4;3;2;4;4;2;4;3;3;2;3,59090909090909;3,33333333333333;4;4;3,5;3,2; ; ; ;2;1;51;4;13;4/30/2020 9:30:28; ; ;5/6/2020 8:19:27;0;94.214.35.42;100;514138;1;5/6/2020 8:19:27;R_2wgiMEvkJ3TrvSL;51.8152008056640625;4.9499969482421875
NG2;2;0;2;3;1;3;1;2;3;2;4;3;5;4;4;5;2;2;2;3;3;1;5;2;3;3;3;3;3;1;2,95454545454545;2,33333333333333;4;3,25;2,66666666666667;2,6;it was online and not in an office somewhere, so no travel.;limited time to cover in depth all the possibilities; ;2;1;51;3;14;5/6/2020 10:21:49; ; ;5/6/2020 10:31:26;0;145.53.121.225;100;576;1;5/6/2020 10:31:26;R_1P64oQ7uGXozbJO;52.0735931396484375;4.3058929443359375
NG2;2;0;0;2;2;3;2;3;3;3;4;3;4;3;4;4;3;3;4;3;3;3;4;3;3;2;4;3;3;3;3,31818181818182;3;3,5;3,5;3,33333333333333;3,2; ; ; ; ; ; ; ; ;4/29/2020 13:30:07; ; ;4/29/2020 13:34:22;0;185.151.112.100;53;255;0;5/6/2020 13:34:30;R_2qsLvWo1xSmk7BP; ; 
NG2;2;0;1;5;3;3;2;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,04545454545455;3;3,25;3;3;3;don't understand it at all because we didn't get the training...; ; ;4;1;43;4; ;4/29/2020 13:30:03; ; ;4/29/2020 13:48:38;0;185.151.112.100;65;1114;0;5/6/2020 13:48:53;R_yBzAKYyDQBhfKWR; ; 
NG2;2;0;0;1;1;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;3;3;3,86363636363636;3,66666666666667;4;4;4;3,6;exercises;/;/;4;1;49;4; ;4/29/2020 13:29:37; ; ;4/29/2020 14:00:34;0;185.151.112.100;84;1857;0;5/6/2020 14:00:50;R_DGBsZ1OPnYn9UM9; ; 
NG2;2;0;0;3;3;4;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;1;3;3;3;2,90909090909091;3;3;3;3;2,6; ; ; ; ; ; ; ; ;4/29/2020 13:29:46; ; ;4/29/2020 14:47:52;0;185.151.112.100;53;4685;0;5/6/2020 14:47:59;R_2B2q7Z6u1eYD4pG; ; 
NG2;2;0;0;1;1;2;1;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;2,90909090909091;3;2,75;3;3;2,8; ; ; ;4;2;40;5; ;4/29/2020 13:29:33; ; ;4/29/2020 15:15:23;0;185.151.112.100;76;6350;0;5/6/2020 15:15:28;R_3DcMRfqy2gAu9XX; ; 
NG2;2;0;2;3;2;3;2;3;2;2;4;3;4;3;4;4;3;3;3;3;2;2;3;3;4;2;4;3;4;2;3,09090909090909;2,33333333333333;3,5;3,5;2,66666666666667;3,4;Efficiency;Too early to attend this training before using the new environment;No;4;1;44;4; ;4/29/2020 13:29:33; ; ;4/29/2020 15:32:36;0;185.151.112.100;63;7382;0;5/6/2020 15:32:56;R_SUAf6MfFVwpUIxP; ; 
NG2;2;0;0;3;2;3;2;3;3;3;2;3;3;3;2;2;3;3;2;2;3;2;2;2;2;3;3;3;3;3;2,59090909090909;3;2,75;2,5;2,16666666666667;2,8; ; ; ; ; ; ; ; ;4/29/2020 13:30:45; ; ;4/29/2020 15:35:36;0;143.179.98.248;53;7490;0;5/6/2020 15:36:12;R_ZdEEysoxB7OlrYB; ; 
NG2;2;0;0;3;1;3;1;3;4;4;4;4;4;4;4;4;4;3;4;3;3;4;4;4;4;2;4;2;3;3;3,63636363636364;3,66666666666667;4;3,75;3,66666666666667;3,2;layout presentation;NA;no;4;1;61;3; ;4/29/2020 13:29:38; ; ;4/30/2020 8:15:43;0;185.151.112.100;63;67564;0;5/7/2020 8:16:26;R_1mRFrwQpNBUCv29; ; 
NG2;2;0;0;2;1;3;2;4;3;3;4;4;4;4;4;4;5;4;4;3;5;5;4;4;5;2;4;4;5;3;4,04545454545455;3,33333333333333;4;4,25;4,16666666666667;4,2;Geen reistijd;xx; ;2;1;60;4; ;4/30/2020 9:30:24; ; ;4/30/2020 9:38:36;0;84.207.231.116;87;491;0;5/7/2020 9:38:40;R_2xXmmUlL7DyrmOz; ; 
NG2;2;0;0;1;1;3;1;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;3;3;3,86363636363636;3,66666666666667;4;4;4;3,6;Usefull info for working with V2.0;-; ;2;2;52;2; ;4/30/2020 9:30:21; ; ;4/30/2020 9:38:48;0;81.204.34.245;77;506;0;5/7/2020 9:38:52;R_3dZ0EzlDhiERGn0; ; 
NG2;2;0;0;3;2;4;3;3;4;3;4;4;4;4;3;3;4;4;4;4;4;4;4;4;3;2;4;3;3;3;3,63636363636364;3,33333333333333;4;3,5;4;3,2;-;-;-;2;1;52;1; ;4/30/2020 9:31:14; ; ;4/30/2020 9:38:49;0;92.109.222.80;74;454;0;5/7/2020 9:39:05;R_2zoROCwgV0ItBWR; ; 
NG2;2;0;0;1;1;3;3;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;4;2;4;4;4;3;3,86363636363636;4;4;3,5;4;3,8;interactive parts;"the language ( english ) ; prefer dutch";follow up is necesarry;2;1;55;3; ;4/30/2020 9:30:36; ; ;4/30/2020 9:39:12;0;159.100.108.137;63;516;0;5/7/2020 9:39:22;R_2zTr1VJDAZ4rW1s; ; 
NG2;2;0;1;4;1;3;1;3;4;3;4;4;5;4;4;4;5;4;3;4;3;4;2;3;2;4;2;2;2;3;3,36363636363636;3,33333333333333;4,25;4,25;3,16666666666667;2,2; Being practical and using examples, but doing it for real is when you really learn.;Just sharing slides in Teams is not pleasant. Everyone having video and sound off makes one a outsider,; ;2;1;51;4; ;4/30/2020 9:30:30; ; ;4/30/2020 9:39:18;0;145.53.121.225;63;527;0;5/7/2020 9:39:40;R_1Ny1MZv5P5yj3p6; ; 
NG2;2;0;2;1;1;3;2;3;4;3;4;4;4;4;4;4;3;4;4;3;3;3;4;3;3;3;3;3;3;3;3,45454545454545;3,33333333333333;4;3,75;3,33333333333333;3;-;-;-;2;1;45;1; ;4/30/2020 9:30:37; ; ;4/30/2020 11:13:48;0;86.91.30.95;89;6190;0;5/7/2020 11:13:51;R_2SuC3YWjPYPdT9N; ; 
NG2;2;0;0;4;1;4;2;4;3;2;5;4;4;4;4;2;4;4;4;4;4;4;4;4;4;3;3;4;4;2;3,68181818181818;3;4,25;3,5;4;3,4;all;nothing;no;2;2;31;4; ;4/30/2020 9:30:17; ; ;4/30/2020 12:21:59;0;93.117.208.210;92;10302;0;5/7/2020 12:22:25;R_uyp31szo05t8YPT; ; 
